date_kst,time_kst,home_team,away_team,home_score,away_score,venue,weather,temp,status
2024-03-29,04:05,Baltimore Orioles,Los Angeles Angels,11,3,Oriole Park at Camden Yards,Cloudy,54,Final
2024-03-29,05:10,Cincinnati Reds,Washington Nationals,8,2,Great American Ball Park,Clear,56,Final
2024-03-29,05:10,San Diego Padres,San Francisco Giants,6,4,Petco Park,Partly Cloudy,63,Final
2024-03-29,05:10,Los Angeles Dodgers,St. Louis Cardinals,7,1,Dodger Stadium,Partly Cloudy,66,Final
2024-03-29,05:10,Tampa Bay Rays,Toronto Blue Jays,2,8,Tropicana Field,Dome,72,Final
2024-03-29,05:10,Kansas City Royals,Minnesota Twins,1,4,Kauffman Stadium,Sunny,65,Final
2024-03-29,05:10,Chicago White Sox,Detroit Tigers,0,1,Guaranteed Rate Field,Partly Cloudy,50,Final
2024-03-29,05:10,Miami Marlins,Pittsburgh Pirates,5,6,loanDepot park,Roof Closed,72,Final
2024-03-29,05:10,Houston Astros,New York Yankees,4,5,Minute Maid Park,Roof Closed,73,Final
2024-03-29,08:35,Texas Rangers,Chicago Cubs,4,3,Globe Life Field,Roof Closed,74,Final
2024-03-29,11:07,Oakland Athletics,Cleveland Guardians,0,8,Oakland Coliseum,Cloudy,55,Final
2024-03-29,11:10,Arizona Diamondbacks,Colorado Rockies,16,1,Chase Field,Overcast,73,Final
2024-03-29,11:10,Seattle Mariners,Boston Red Sox,4,6,T-Mobile Park,Roof Closed,53,Final
2024-03-29,02:10,New York Mets,Milwaukee Brewers,0,0,Citi Field,Sunny,53,Final
2024-03-29,04:05,Philadelphia Phillies,Atlanta Braves,0,0,Citizens Bank Park,Sunny,56,Final
2024-03-30,02:40,New York Mets,Milwaukee Brewers,1,3,Citi Field,Sunny,53,Final
2024-03-30,04:05,Philadelphia Phillies,Atlanta Braves,3,9,Citizens Bank Park,Sunny,56,Final
2024-03-30,07:50,Tampa Bay Rays,Toronto Blue Jays,8,2,Tropicana Field,Dome,72,Final
2024-03-30,08:10,Miami Marlins,Pittsburgh Pirates,2,7,loanDepot park,Partly Cloudy,73,Final
2024-03-30,09:10,Houston Astros,New York Yankees,1,7,Minute Maid Park,Roof Closed,73,Final
2024-03-30,10:40,Arizona Diamondbacks,Colorado Rockies,7,3,Chase Field,Clear,81,Final
2024-03-30,10:40,Oakland Athletics,Cleveland Guardians,4,6,Oakland Coliseum,Partly Cloudy,54,Final
2024-03-30,10:40,Seattle Mariners,Boston Red Sox,1,0,T-Mobile Park,Clear,53,Final
2024-03-30,10:40,San Diego Padres,San Francisco Giants,3,8,Petco Park,Partly Cloudy,61,Final
2024-03-30,11:10,Los Angeles Dodgers,St. Louis Cardinals,6,3,Dodger Stadium,Cloudy,57,Final
2024-03-31,02:40,New York Mets,Milwaukee Brewers,6,7,Citi Field,Sunny,54,Final
2024-03-31,03:10,Chicago White Sox,Detroit Tigers,6,7,Guaranteed Rate Field,Partly Cloudy,61,Final
2024-03-31,05:05,Baltimore Orioles,Los Angeles Angels,13,4,Oriole Park at Camden Yards,Cloudy,68,Final
2024-03-31,05:05,Philadelphia Phillies,Atlanta Braves,4,12,Citizens Bank Park,Partly Cloudy,61,Final
2024-03-31,05:07,Oakland Athletics,Cleveland Guardians,3,12,Oakland Coliseum,Cloudy,60,Final
2024-03-31,05:10,Cincinnati Reds,Washington Nationals,6,7,Great American Ball Park,Partly Cloudy,75,Final
2024-03-31,05:10,Tampa Bay Rays,Toronto Blue Jays,5,1,Tropicana Field,Dome,72,Final
2024-03-31,05:10,Kansas City Royals,Minnesota Twins,1,5,Kauffman Stadium,Sunny,66,Final
2024-03-31,05:10,Miami Marlins,Pittsburgh Pirates,3,9,loanDepot park,Cloudy,75,Final
2024-03-31,08:05,Texas Rangers,Chicago Cubs,11,2,Globe Life Field,Roof Closed,74,Final
2024-03-31,08:15,San Diego Padres,San Francisco Giants,6,9,Petco Park,Cloudy,54,Final
2024-03-31,08:15,Houston Astros,New York Yankees,3,5,Minute Maid Park,Roof Closed,73,Final
2024-03-31,09:10,Arizona Diamondbacks,Colorado Rockies,4,9,Chase Field,Roof Closed,76,Final
2024-03-31,10:10,Los Angeles Dodgers,St. Louis Cardinals,5,6,Dodger Stadium,Cloudy,52,Final
2024-03-31,10:40,Seattle Mariners,Boston Red Sox,4,3,T-Mobile Park,Roof Closed,54,Final
2024-04-01,02:35,Baltimore Orioles,Los Angeles Angels,1,4,Oriole Park at Camden Yards,Cloudy,65,Final
2024-04-01,02:35,Philadelphia Phillies,Atlanta Braves,5,4,Citizens Bank Park,Cloudy,59,Final
2024-04-01,02:40,Cincinnati Reds,Washington Nationals,6,5,Great American Ball Park,Cloudy,58,Final
2024-04-01,02:40,Tampa Bay Rays,Toronto Blue Jays,2,9,Tropicana Field,Dome,72,Final
2024-04-01,02:40,Miami Marlins,Pittsburgh Pirates,7,9,loanDepot park,Sunny,77,Final
2024-04-01,02:40,New York Mets,Milwaukee Brewers,1,4,Citi Field,Sunny,57,Final
2024-04-01,03:10,Kansas City Royals,Minnesota Twins,11,0,Kauffman Stadium,Overcast,69,Final
2024-04-01,03:10,Chicago White Sox,Detroit Tigers,2,3,Guaranteed Rate Field,Partly Cloudy,47,Final
2024-04-01,03:10,Houston Astros,New York Yankees,3,4,Minute Maid Park,Roof Closed,73,Final
2024-04-01,03:35,Texas Rangers,Chicago Cubs,5,9,Globe Life Field,Roof Closed,74,Final
2024-04-01,05:07,Oakland Athletics,Cleveland Guardians,4,3,Oakland Coliseum,Partly Cloudy,58,Final
2024-04-01,05:10,Arizona Diamondbacks,Colorado Rockies,5,1,Chase Field,Roof Closed,74,Final
2024-04-01,05:10,Seattle Mariners,Boston Red Sox,1,5,T-Mobile Park,Sunny,52,Final
2024-04-01,05:10,San Diego Padres,San Francisco Giants,13,4,Petco Park,Partly Cloudy,60,Final
2024-04-01,08:10,Los Angeles Dodgers,St. Louis Cardinals,5,4,Dodger Stadium,Cloudy,59,Final
2024-04-02,03:10,Chicago White Sox,Atlanta Braves,0,9,Guaranteed Rate Field,Cloudy,46,Final
2024-04-02,03:20,Chicago Cubs,Colorado Rockies,5,0,Wrigley Field,Overcast,43,Final
2024-04-02,05:05,Washington Nationals,Pittsburgh Pirates,4,8,Nationals Park,Cloudy,53,Final
2024-04-02,07:35,Baltimore Orioles,Kansas City Royals,6,4,Oriole Park at Camden Yards,Overcast,57,Final
2024-04-02,07:40,Philadelphia Phillies,Cincinnati Reds,3,6,Citizens Bank Park,Cloudy,52,Final
2024-04-02,07:40,Miami Marlins,Los Angeles Angels,4,7,loanDepot park,Partly Cloudy,77,Final
2024-04-02,07:50,Tampa Bay Rays,Texas Rangers,3,9,Tropicana Field,Dome,72,Final
2024-04-02,08:10,New York Mets,Detroit Tigers,0,5,Citi Field,Cloudy,52,Final
2024-04-02,09:10,Houston Astros,Toronto Blue Jays,10,0,Minute Maid Park,Roof Closed,73,Final
2024-04-02,10:40,Oakland Athletics,Boston Red Sox,0,9,Oakland Coliseum,Clear,64,Final
2024-04-02,10:40,Seattle Mariners,Cleveland Guardians,5,4,T-Mobile Park,Clear,61,Final
2024-04-02,10:40,San Diego Padres,St. Louis Cardinals,2,6,Petco Park,Clear,61,Final
2024-04-02,10:40,Arizona Diamondbacks,New York Yankees,2,5,Chase Field,Roof Closed,72,Final
2024-04-02,11:10,Los Angeles Dodgers,San Francisco Giants,8,3,Dodger Stadium,Clear,64,Final
2024-04-03,05:10,Milwaukee Brewers,Minnesota Twins,3,2,American Family Field,Roof Closed,64,Final
2024-04-03,07:35,Baltimore Orioles,Kansas City Royals,1,4,Oriole Park at Camden Yards,Cloudy,52,Final
2024-04-03,07:40,Philadelphia Phillies,Cincinnati Reds,9,4,Citizens Bank Park,Drizzle,46,Final
2024-04-03,07:40,Miami Marlins,Los Angeles Angels,1,3,loanDepot park,Partly Cloudy,79,Final
2024-04-03,07:50,Tampa Bay Rays,Texas Rangers,5,2,Tropicana Field,Dome,72,Final
2024-04-03,08:40,Chicago Cubs,Colorado Rockies,12,2,Wrigley Field,Overcast,42,Final
2024-04-03,08:40,Chicago White Sox,Atlanta Braves,3,2,Guaranteed Rate Field,Overcast,44,Final
2024-04-03,09:10,Houston Astros,Toronto Blue Jays,1,2,Minute Maid Park,Roof Closed,73,Final
2024-04-03,10:40,Oakland Athletics,Boston Red Sox,4,5,Oakland Coliseum,Clear,64,Final
2024-04-03,10:40,Seattle Mariners,Cleveland Guardians,2,5,T-Mobile Park,Partly Cloudy,63,Final
2024-04-03,10:40,San Diego Padres,St. Louis Cardinals,2,5,Petco Park,Clear,66,Final
2024-04-03,10:40,Arizona Diamondbacks,New York Yankees,7,0,Chase Field,Clear,72,Final
2024-04-03,11:10,Los Angeles Dodgers,San Francisco Giants,5,4,Dodger Stadium,Clear,66,Final
2024-04-03,08:10,New York Mets,Detroit Tigers,0,0,Citi Field,Cloudy,43,Final
2024-04-04,02:05,Baltimore Orioles,Kansas City Royals,4,3,Oriole Park at Camden Yards,Drizzle,46,Final
2024-04-04,02:10,Tampa Bay Rays,Texas Rangers,1,4,Tropicana Field,Dome,72,Final
2024-04-04,02:10,Miami Marlins,Los Angeles Angels,2,10,loanDepot park,Roof Closed,72,Final
2024-04-04,02:10,Milwaukee Brewers,Minnesota Twins,3,7,American Family Field,Roof Closed,64,Final
2024-04-04,04:37,Oakland Athletics,Boston Red Sox,0,1,Oakland Coliseum,Cloudy,56,Final
2024-04-04,04:40,Arizona Diamondbacks,New York Yankees,5,6,Chase Field,Sunny,77,Final
2024-04-04,05:05,Philadelphia Phillies,Cincinnati Reds,1,4,Citizens Bank Park,Cloudy,48,Final
2024-04-04,05:10,Seattle Mariners,Cleveland Guardians,0,8,T-Mobile Park,Partly Cloudy,52,Final
2024-04-04,05:10,San Diego Padres,St. Louis Cardinals,3,2,Petco Park,Sunny,69,Final
2024-04-04,07:45,Washington Nationals,Pittsburgh Pirates,5,3,Nationals Park,Overcast,52,Final
2024-04-04,08:40,Chicago Cubs,Colorado Rockies,9,8,Wrigley Field,Cloudy,36,Final
2024-04-04,09:10,Houston Astros,Toronto Blue Jays,8,0,Minute Maid Park,Roof Closed,73,Final
2024-04-04,11:10,Los Angeles Dodgers,San Francisco Giants,5,4,Dodger Stadium,Clear,63,Final
2024-04-04,03:10,Chicago White Sox,Atlanta Braves,0,0,Guaranteed Rate Field,Sunny,70,Final
2024-04-04,08:10,New York Mets,Detroit Tigers,0,0,Citi Field,Partly Cloudy,47,Final
2024-04-05,01:10,New York Mets,Detroit Tigers,3,6,Citi Field,Cloudy,43,Final
2024-04-05,01:15,New York Mets,Detroit Tigers,2,1,Citi Field,Partly Cloudy,47,Final
2024-04-05,05:05,Washington Nationals,Pittsburgh Pirates,4,7,Nationals Park,Partly Cloudy,46,Final
2024-04-05,05:10,Minnesota Twins,Cleveland Guardians,2,4,Target Field,Partly Cloudy,48,Final
2024-04-05,05:15,St. Louis Cardinals,Miami Marlins,8,5,Busch Stadium,Overcast,49,Final
2024-04-05,08:40,Kansas City Royals,Chicago White Sox,10,1,Kauffman Stadium,Clear,60,Final
2024-04-06,02:05,New York Yankees,Toronto Blue Jays,0,3,Yankee Stadium,Partly Cloudy,46,Final
2024-04-06,02:10,Detroit Tigers,Oakland Athletics,5,4,Comerica Park,Partly Cloudy,43,Final
2024-04-06,03:20,Chicago Cubs,Los Angeles Dodgers,9,7,Wrigley Field,Partly Cloudy,43,Final
2024-04-06,05:10,Colorado Rockies,Tampa Bay Rays,10,7,Coors Field,Partly Cloudy,75,Final
2024-04-06,05:12,Pittsburgh Pirates,Baltimore Orioles,2,5,PNC Park,Cloudy,40,Final
2024-04-06,05:35,San Francisco Giants,San Diego Padres,3,2,Oracle Park,Partly Cloudy,54,Final
2024-04-06,07:40,Cincinnati Reds,New York Mets,2,3,Great American Ball Park,Cloudy,46,Final
2024-04-06,07:45,Washington Nationals,Philadelphia Phillies,0,4,Nationals Park,Partly Cloudy,48,Final
2024-04-06,08:20,Atlanta Braves,Arizona Diamondbacks,6,5,Truist Park,Clear,59,Final
2024-04-06,08:40,Kansas City Royals,Chicago White Sox,2,1,Kauffman Stadium,Clear,63,Final
2024-04-06,09:05,Texas Rangers,Houston Astros,10,2,Globe Life Field,Cloudy,83,Final
2024-04-06,09:10,Milwaukee Brewers,Seattle Mariners,6,5,American Family Field,Roof Closed,46,Final
2024-04-06,10:38,Los Angeles Angels,Boston Red Sox,6,8,Angel Stadium,Partly Cloudy,54,Final
2024-04-07,02:10,Detroit Tigers,Oakland Athletics,0,4,Comerica Park,Sunny,55,Final
2024-04-07,03:10,Minnesota Twins,Cleveland Guardians,1,3,Target Field,Sunny,55,Final
2024-04-07,03:15,St. Louis Cardinals,Miami Marlins,3,1,Busch Stadium,Partly Cloudy,57,Final
2024-04-07,05:05,Chicago Cubs,Los Angeles Dodgers,1,4,Wrigley Field,Sunny,46,Final
2024-04-07,05:05,Pittsburgh Pirates,Baltimore Orioles,5,4,PNC Park,Cloudy,51,Final
2024-04-07,05:05,Washington Nationals,Philadelphia Phillies,2,5,Nationals Park,Overcast,53,Final
2024-04-07,05:10,Cincinnati Reds,New York Mets,9,6,Great American Ball Park,Partly Cloudy,57,Final
2024-04-07,08:05,Texas Rangers,Houston Astros,7,2,Globe Life Field,Roof Closed,74,Final
2024-04-07,08:05,New York Yankees,Toronto Blue Jays,9,8,Yankee Stadium,Cloudy,50,Final
2024-04-07,08:10,Kansas City Royals,Chicago White Sox,3,0,Kauffman Stadium,Clear,71,Final
2024-04-07,08:10,Milwaukee Brewers,Seattle Mariners,3,5,American Family Field,Roof Closed,65,Final
2024-04-07,08:20,Atlanta Braves,Arizona Diamondbacks,9,8,Truist Park,Partly Cloudy,63,Final
2024-04-07,09:10,Colorado Rockies,Tampa Bay Rays,6,8,Coors Field,Cloudy,46,Final
2024-04-07,10:05,San Francisco Giants,San Diego Padres,0,4,Oracle Park,Partly Cloudy,55,Final
2024-04-07,10:38,Los Angeles Angels,Boston Red Sox,2,1,Angel Stadium,Clear,61,Final
2024-04-08,02:35,Pittsburgh Pirates,Baltimore Orioles,3,2,PNC Park,Sunny,54,Final
2024-04-08,02:35,Washington Nationals,Philadelphia Phillies,3,2,Nationals Park,Partly Cloudy,59,Final
2024-04-08,02:35,Atlanta Braves,Arizona Diamondbacks,5,2,Truist Park,Sunny,65,Final
2024-04-08,02:35,New York Yankees,Toronto Blue Jays,8,3,Yankee Stadium,Partly Cloudy,52,Final
2024-04-08,02:40,Cincinnati Reds,New York Mets,1,3,Great American Ball Park,Sunny,60,Final
2024-04-08,02:40,Detroit Tigers,Oakland Athletics,1,7,Comerica Park,Sunny,55,Final
2024-04-08,03:10,Kansas City Royals,Chicago White Sox,5,3,Kauffman Stadium,Sunny,63,Final
2024-04-08,03:10,Milwaukee Brewers,Seattle Mariners,12,4,American Family Field,Roof Closed,64,Final
2024-04-08,03:15,St. Louis Cardinals,Miami Marlins,3,10,Busch Stadium,Cloudy,63,Final
2024-04-08,03:20,Chicago Cubs,Los Angeles Dodgers,8,1,Wrigley Field,Overcast,47,Final
2024-04-08,04:10,Colorado Rockies,Tampa Bay Rays,2,3,Coors Field,Sunny,52,Final
2024-04-08,05:05,San Francisco Giants,San Diego Padres,3,2,Oracle Park,Partly Cloudy,59,Final
2024-04-08,05:07,Los Angeles Angels,Boston Red Sox,2,12,Angel Stadium,Partly Cloudy,66,Final
2024-04-08,08:10,Texas Rangers,Houston Astros,1,3,Globe Life Field,Clear,79,Final
2024-04-08,03:10,Minnesota Twins,Cleveland Guardians,0,0,Target Field,Partly Cloudy,67,Final
2024-04-09,06:10,Cleveland Guardians,Chicago White Sox,4,0,Progressive Field,Partly Cloudy,63,Final
2024-04-09,07:05,New York Yankees,Miami Marlins,7,0,Yankee Stadium,Overcast,60,Final
2024-04-09,07:40,Pittsburgh Pirates,Detroit Tigers,7,4,PNC Park,Cloudy,74,Final
2024-04-09,07:40,Cincinnati Reds,Milwaukee Brewers,10,8,Great American Ball Park,Cloudy,74,Final
2024-04-09,08:07,Toronto Blue Jays,Seattle Mariners,5,2,Rogers Centre,Roof Closed,68,Final
2024-04-09,08:20,Atlanta Braves,New York Mets,7,8,Truist Park,Cloudy,73,Final
2024-04-09,08:40,Minnesota Twins,Los Angeles Dodgers,2,4,Target Field,Partly Cloudy,49,Final
2024-04-09,08:45,St. Louis Cardinals,Philadelphia Phillies,3,5,Busch Stadium,Clear,76,Final
2024-04-09,09:05,Texas Rangers,Houston Astros,5,10,Globe Life Field,Roof Closed,74,Final
2024-04-09,09:40,Colorado Rockies,Arizona Diamondbacks,7,5,Coors Field,Clear,57,Final
2024-04-09,10:38,Los Angeles Angels,Tampa Bay Rays,7,1,Angel Stadium,Clear,70,Final
2024-04-09,10:40,San Diego Padres,Chicago Cubs,9,8,Petco Park,Clear,61,Final
2024-04-09,10:45,San Francisco Giants,Washington Nationals,1,8,Oracle Park,Clear,62,Final
2024-04-10,01:35,Pittsburgh Pirates,Detroit Tigers,3,5,PNC Park,Partly Cloudy,72,Final
2024-04-10,03:10,Boston Red Sox,Baltimore Orioles,1,7,Fenway Park,Sunny,57,Final
2024-04-10,07:10,Cleveland Guardians,Chicago White Sox,5,7,Progressive Field,Cloudy,75,Final
2024-04-10,07:40,Cincinnati Reds,Milwaukee Brewers,5,9,Great American Ball Park,Overcast,63,Final
2024-04-10,08:05,New York Yankees,Miami Marlins,3,2,Yankee Stadium,Partly Cloudy,65,Final
2024-04-10,08:07,Toronto Blue Jays,Seattle Mariners,5,3,Rogers Centre,Roof Closed,68,Final
2024-04-10,08:20,Atlanta Braves,New York Mets,6,5,Truist Park,Drizzle,58,Final
2024-04-10,08:40,Kansas City Royals,Houston Astros,4,3,Kauffman Stadium,Clear,66,Final
2024-04-10,08:40,Minnesota Twins,Los Angeles Dodgers,3,6,Target Field,Partly Cloudy,60,Final
2024-04-10,08:45,St. Louis Cardinals,Philadelphia Phillies,3,0,Busch Stadium,Cloudy,68,Final
2024-04-10,09:05,Texas Rangers,Oakland Athletics,3,4,Globe Life Field,Roof Closed,74,Final
2024-04-10,09:40,Colorado Rockies,Arizona Diamondbacks,2,3,Coors Field,Partly Cloudy,61,Final
2024-04-10,10:38,Los Angeles Angels,Tampa Bay Rays,4,6,Angel Stadium,Clear,77,Final
2024-04-10,10:45,San Francisco Giants,Washington Nationals,3,5,Oracle Park,Clear,63,Final
2024-04-10,11:05,San Diego Padres,Chicago Cubs,1,5,Petco Park,Clear,68,Final
2024-04-11,02:10,Minnesota Twins,Los Angeles Dodgers,3,2,Target Field,Sunny,60,Final
2024-04-11,02:15,St. Louis Cardinals,Philadelphia Phillies,3,4,Busch Stadium,Drizzle,57,Final
2024-04-11,04:07,Toronto Blue Jays,Seattle Mariners,1,6,Rogers Centre,Roof Closed,68,Final
2024-04-11,04:10,Colorado Rockies,Arizona Diamondbacks,3,5,Coors Field,Cloudy,56,Final
2024-04-11,04:45,San Francisco Giants,Washington Nationals,7,1,Oracle Park,Partly Cloudy,65,Final
2024-04-11,05:07,Los Angeles Angels,Tampa Bay Rays,2,4,Angel Stadium,Sunny,80,Final
2024-04-11,07:10,Cleveland Guardians,Chicago White Sox,7,6,Progressive Field,Cloudy,55,Final
2024-04-11,07:40,San Diego Padres,Chicago Cubs,10,2,Petco Park,Sunny,71,Final
2024-04-11,07:40,Cincinnati Reds,Milwaukee Brewers,2,7,Great American Ball Park,Rain,61,Final
2024-04-11,08:05,New York Yankees,Miami Marlins,2,5,Yankee Stadium,Overcast,57,Final
2024-04-11,08:10,Boston Red Sox,Baltimore Orioles,5,7,Fenway Park,Partly Cloudy,59,Final
2024-04-11,08:40,Kansas City Royals,Houston Astros,11,2,Kauffman Stadium,Cloudy,63,Final
2024-04-11,09:05,Texas Rangers,Oakland Athletics,6,2,Globe Life Field,Roof Closed,74,Final
2024-04-11,08:20,Atlanta Braves,New York Mets,0,0,Truist Park,Overcast,73,Final
2024-04-12,01:20,Atlanta Braves,New York Mets,4,16,Truist Park,Partly Cloudy,72,Final
2024-04-12,03:10,Kansas City Royals,Houston Astros,13,3,Kauffman Stadium,Sunny,61,Final
2024-04-12,03:35,Texas Rangers,Oakland Athletics,0,1,Globe Life Field,Roof Closed,74,Final
2024-04-12,07:40,Philadelphia Phillies,Pittsburgh Pirates,5,1,Citizens Bank Park,Cloudy,64,Final
2024-04-12,08:10,Boston Red Sox,Baltimore Orioles,4,9,Fenway Park,Cloudy,50,Final
2024-04-12,02:10,Detroit Tigers,Minnesota Twins,0,0,Comerica Park,Clear,64,Final
2024-04-12,02:10,Cincinnati Reds,Milwaukee Brewers,0,0,Great American Ball Park,Sunny,92,Final
2024-04-13,07:40,Detroit Tigers,Minnesota Twins,8,2,Comerica Park,Cloudy,50,Final
2024-04-13,07:40,Philadelphia Phillies,Pittsburgh Pirates,2,5,Citizens Bank Park,Cloudy,64,Final
2024-04-13,07:50,Tampa Bay Rays,San Francisco Giants,2,1,Tropicana Field,Dome,72,Final
2024-04-13,08:05,Baltimore Orioles,Milwaukee Brewers,1,11,Oriole Park at Camden Yards,Cloudy,62,Final
2024-04-13,08:07,Toronto Blue Jays,Colorado Rockies,4,12,Rogers Centre,Roof Closed,68,Final
2024-04-13,08:10,Boston Red Sox,Los Angeles Angels,0,7,Fenway Park,Partly Cloudy,54,Final
2024-04-13,08:10,New York Mets,Kansas City Royals,6,1,Citi Field,Partly Cloudy,60,Final
2024-04-13,08:10,Miami Marlins,Atlanta Braves,1,8,loanDepot park,Clear,77,Final
2024-04-13,08:40,Chicago White Sox,Cincinnati Reds,1,11,Guaranteed Rate Field,Cloudy,54,Final
2024-04-13,09:10,Houston Astros,Texas Rangers,8,12,Minute Maid Park,Roof Closed,73,Final
2024-04-13,10:40,Oakland Athletics,Washington Nationals,2,1,Oakland Coliseum,Cloudy,60,Final
2024-04-13,10:40,Seattle Mariners,Chicago Cubs,4,2,T-Mobile Park,Clear,53,Final
2024-04-13,10:40,Arizona Diamondbacks,St. Louis Cardinals,6,9,Chase Field,Clear,86,Final
2024-04-13,11:10,Los Angeles Dodgers,San Diego Padres,7,8,Dodger Stadium,Overcast,59,Final
2024-04-13,08:10,Cleveland Guardians,New York Yankees,0,0,Progressive Field,Sunny,49,Final
2024-04-14,01:10,Cleveland Guardians,New York Yankees,2,3,Progressive Field,Sunny,49,Final
2024-04-14,07:10,Cleveland Guardians,New York Yankees,2,8,Progressive Field,Clear,56,Final
2024-04-14,02:10,Detroit Tigers,Minnesota Twins,5,11,Comerica Park,Sunny,57,Final
2024-04-14,02:15,Detroit Tigers,Minnesota Twins,1,4,Comerica Park,Clear,64,Final
2024-04-14,02:40,New York Mets,Kansas City Royals,7,11,Citi Field,Cloudy,51,Final
2024-04-14,03:10,Chicago White Sox,Cincinnati Reds,0,5,Guaranteed Rate Field,Sunny,62,Final
2024-04-14,04:07,Toronto Blue Jays,Colorado Rockies,5,3,Rogers Centre,Roof Closed,68,Final
2024-04-14,05:05,Houston Astros,Texas Rangers,9,2,Minute Maid Park,Roof Closed,73,Final
2024-04-14,05:05,Philadelphia Phillies,Pittsburgh Pirates,4,3,Citizens Bank Park,Partly Cloudy,60,Final
2024-04-14,05:05,Baltimore Orioles,Milwaukee Brewers,5,11,Oriole Park at Camden Yards,Partly Cloudy,66,Final
2024-04-14,05:07,Oakland Athletics,Washington Nationals,1,3,Oakland Coliseum,Overcast,53,Final
2024-04-14,05:10,Boston Red Sox,Los Angeles Angels,7,2,Fenway Park,Cloudy,54,Final
2024-04-14,05:10,Tampa Bay Rays,San Francisco Giants,2,11,Tropicana Field,Dome,72,Final
2024-04-14,05:10,Miami Marlins,Atlanta Braves,5,1,loanDepot park,Sunny,81,Final
2024-04-14,09:10,Arizona Diamondbacks,St. Louis Cardinals,4,2,Chase Field,Clear,87,Final
2024-04-14,10:10,Los Angeles Dodgers,San Diego Padres,5,2,Dodger Stadium,Rain,48,Final
2024-04-14,10:40,Seattle Mariners,Chicago Cubs,1,4,T-Mobile Park,Clear,57,Final
2024-04-15,02:35,Boston Red Sox,Los Angeles Angels,5,4,Fenway Park,Sunny,59,Final
2024-04-15,02:35,Philadelphia Phillies,Pittsburgh Pirates,2,9,Citizens Bank Park,Sunny,71,Final
2024-04-15,02:35,Baltimore Orioles,Milwaukee Brewers,6,4,Oriole Park at Camden Yards,Sunny,81,Final
2024-04-15,02:37,Toronto Blue Jays,Colorado Rockies,5,0,Rogers Centre,Roof Closed,68,Final
2024-04-15,02:40,New York Mets,Kansas City Royals,2,1,Citi Field,Sunny,67,Final
2024-04-15,02:40,Tampa Bay Rays,San Francisco Giants,9,4,Tropicana Field,Dome,72,Final
2024-04-15,02:40,Detroit Tigers,Minnesota Twins,4,3,Comerica Park,Sunny,78,Final
2024-04-15,02:40,Miami Marlins,Atlanta Braves,7,9,loanDepot park,Partly Cloudy,80,Final
2024-04-15,02:40,Cleveland Guardians,New York Yankees,8,7,Progressive Field,Sunny,71,Final
2024-04-15,03:10,Houston Astros,Texas Rangers,8,5,Minute Maid Park,Roof Closed,73,Final
2024-04-15,03:10,Chicago White Sox,Cincinnati Reds,4,11,Guaranteed Rate Field,Partly Cloudy,78,Final
2024-04-15,05:07,Oakland Athletics,Washington Nationals,7,6,Oakland Coliseum,Cloudy,57,Final
2024-04-15,05:10,Seattle Mariners,Chicago Cubs,2,3,T-Mobile Park,Sunny,54,Final
2024-04-15,05:10,Arizona Diamondbacks,St. Louis Cardinals,5,0,Chase Field,Roof Closed,78,Final
2024-04-15,08:10,Los Angeles Dodgers,San Diego Padres,3,6,Dodger Stadium,Overcast,55,Final
2024-04-16,00:10,Boston Red Sox,Cleveland Guardians,0,6,Fenway Park,Partly Cloudy,60,Final
2024-04-16,07:35,Baltimore Orioles,Minnesota Twins,7,4,Oriole Park at Camden Yards,Partly Cloudy,80,Final
2024-04-16,07:40,Detroit Tigers,Texas Rangers,0,1,Comerica Park,Clear,64,Final
2024-04-16,07:40,Philadelphia Phillies,Colorado Rockies,2,1,Citizens Bank Park,Partly Cloudy,77,Final
2024-04-16,07:40,Miami Marlins,San Francisco Giants,3,4,loanDepot park,Partly Cloudy,76,Final
2024-04-16,07:50,Tampa Bay Rays,Los Angeles Angels,3,7,Tropicana Field,Dome,72,Final
2024-04-16,08:07,Toronto Blue Jays,New York Yankees,3,1,Rogers Centre,Roof Closed,68,Final
2024-04-16,08:10,New York Mets,Pittsburgh Pirates,6,3,Citi Field,Partly Cloudy,72,Final
2024-04-16,08:40,Chicago White Sox,Kansas City Royals,0,2,Guaranteed Rate Field,Clear,65,Final
2024-04-16,08:40,Milwaukee Brewers,San Diego Padres,3,7,American Family Field,Roof Closed,71,Final
2024-04-16,09:10,Houston Astros,Atlanta Braves,1,6,Minute Maid Park,Roof Closed,73,Final
2024-04-16,10:40,Arizona Diamondbacks,Chicago Cubs,2,3,Chase Field,Clear,75,Final
2024-04-16,10:40,Oakland Athletics,St. Louis Cardinals,1,3,Oakland Coliseum,Partly Cloudy,61,Final
2024-04-16,10:42,Seattle Mariners,Cincinnati Reds,9,3,T-Mobile Park,Roof Closed,50,Final
2024-04-16,11:10,Los Angeles Dodgers,Washington Nationals,4,6,Dodger Stadium,Clear,62,Final
2024-04-17,02:10,Detroit Tigers,Texas Rangers,4,2,Comerica Park,Sunny,64,Final
2024-04-17,07:35,Baltimore Orioles,Minnesota Twins,11,3,Oriole Park at Camden Yards,Clear,71,Final
2024-04-17,07:40,Philadelphia Phillies,Colorado Rockies,5,0,Citizens Bank Park,Clear,72,Final
2024-04-17,07:40,Miami Marlins,San Francisco Giants,6,3,loanDepot park,Partly Cloudy,78,Final
2024-04-17,07:50,Tampa Bay Rays,Los Angeles Angels,7,6,Tropicana Field,Dome,72,Final
