season,team,player,league,sport,numTeams,rank,position,year,age,gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies
2026,"{'id': 138, 'name': 'St. Louis Cardinals', 'link': '/api/v1/teams/138'}","{'id': 669467, 'fullName': 'Andre Pallante', 'link': '/api/v1/people/669467', 'firstName': 'Andre', 'lastName': 'Pallante'}","{'id': 104, 'name': 'NL', 'link': '/api/v1/league/104'}","{'id': 1, 'link': '/api/v1/sports/1', 'abbreviation': 'MLB'}",1,36,"{'code': '1', 'name': 'Pitcher', 'type': 'Pitcher', 'abbreviation': 'P'}",2026,27,16,16,116,74,40,15,1,9,68,26,0,84,6,.246,341,.310,.375,.685,0,9,1.000,.000,9,1448,3.83,89.1,9,5,0,0,0,0,38,1.23,374,268,16,0,0,924,.640,6,0,3,1,128,1.57,.643,16.21,0,2.62,6.85,2.62,8.46,4.03,0.91,0,0,0,0,1
2026,"{'id': 114, 'name': 'Cleveland Guardians', 'link': '/api/v1/teams/114'}","{'id': 676282, 'fullName': 'Joey Cantillo', 'link': '/api/v1/people/676282', 'firstName': 'Joey', 'lastName': 'Cantillo'}","{'id': 103, 'name': 'AL', 'link': '/api/v1/league/103'}","{'id': 1, 'link': '/api/v1/sports/1', 'abbreviation': 'MLB'}",1,37,"{'code': '1', 'name': 'Pitcher', 'type': 'Pitcher', 'abbreviation': 'P'}",2026,26,17,17,72,86,41,17,0,12,85,39,0,77,1,.243,317,.327,.410,.737,4,12,.750,.250,8,1462,3.87,86.0,6,3,0,0,0,0,37,1.35,360,258,17,0,0,917,.630,1,0,5,0,130,0.84,.667,17.00,0,2.18,8.90,4.08,8.06,4.29,1.26,0,0,0,2,1
2026,"{'id': 108, 'name': 'Los Angeles Angels', 'link': '/api/v1/teams/108'}","{'id': 672282, 'fullName': 'Reid Detmers', 'link': '/api/v1/people/672282', 'firstName': 'Reid', 'lastName': 'Detmers'}","{'id': 103, 'name': 'AL', 'link': '/api/v1/league/103'}","{'id': 1, 'link': '/api/v1/sports/1', 'abbreviation': 'MLB'}",1,38,"{'code': '1', 'name': 'Pitcher', 'type': 'Pitcher', 'abbreviation': 'P'}",2026,26,17,17,72,111,46,16,1,8,112,31,0,75,4,.206,364,.272,.321,.593,2,9,.818,.182,6,1608,3.88,99.2,3,5,0,0,0,0,43,1.06,406,299,17,0,0,1055,.660,4,0,1,1,117,0.65,.375,16.13,0,3.61,10.11,2.80,6.77,4.15,0.72,0,0,1,0,6
2026,"{'id': 143, 'name': 'Philadelphia Phillies', 'link': '/api/v1/teams/143'}","{'id': 666200, 'fullName': 'Jesús Luzardo', 'link': '/api/v1/people/666200', 'firstName': 'Jesús', 'lastName': 'Luzardo'}","{'id': 104, 'name': 'NL', 'link': '/api/v1/league/104'}","{'id': 1, 'link': '/api/v1/sports/1', 'abbreviation': 'MLB'}",1,39,"{'code': '1', 'name': 'Pitcher', 'type': 'Pitcher', 'abbreviation': 'P'}",2026,28,17,17,100,66,48,17,1,9,116,33,0,94,5,.253,372,.320,.376,.696,4,8,.667,.333,6,1645,3.88,97.1,6,4,0,0,0,0,42,1.30,414,292,17,0,0,1055,.640,5,1,5,1,140,1.52,.600,16.90,0,3.52,10.73,3.05,8.69,4.44,0.83,0,0,0,1,3
2026,"{'id': 113, 'name': 'Cincinnati Reds', 'link': '/api/v1/teams/113'}","{'id': 671096, 'fullName': 'Andrew Abbott', 'link': '/api/v1/people/671096', 'firstName': 'Andrew', 'lastName': 'Abbott'}","{'id': 104, 'name': 'NL', 'link': '/api/v1/league/104'}","{'id': 1, 'link': '/api/v1/sports/1', 'abbreviation': 'MLB'}",1,40,"{'code': '1', 'name': 'Pitcher', 'type': 'Pitcher', 'abbreviation': 'P'}",2026,27,17,17,78,113,42,7,1,15,70,40,0,87,0,.252,345,.327,.409,.736,4,16,.800,.200,3,1567,3.90,90.0,5,4,0,0,0,0,39,1.41,390,270,17,0,0,980,.630,0,0,0,2,141,0.69,.556,17.41,0,1.75,7.00,4.00,8.70,4.20,1.50,0,0,2,0,3
2026,"{'id': 136, 'name': 'Seattle Mariners', 'link': '/api/v1/teams/136'}","{'id': 669923, 'fullName': 'George Kirby', 'link': '/api/v1/people/669923', 'firstName': 'George', 'lastName': 'Kirby'}","{'id': 103, 'name': 'AL', 'link': '/api/v1/league/103'}","{'id': 1, 'link': '/api/v1/sports/1', 'abbreviation': 'MLB'}",1,41,"{'code': '1', 'name': 'Pitcher', 'type': 'Pitcher', 'abbreviation': 'P'}",2026,28,16,16,101,86,46,18,1,9,84,23,0,106,2,.282,376,.326,.407,.733,3,11,.786,.214,13,1482,3.94,96.0,6,7,0,0,0,0,42,1.34,402,288,16,1,0,999,.670,2,0,0,2,153,1.17,.462,15.44,0,3.65,7.88,2.16,9.94,4.31,0.84,0,0,0,0,1
2026,"{'id': 147, 'name': 'New York Yankees', 'link': '/api/v1/teams/147'}","{'id': 677960, 'fullName': 'Ryan Weathers', 'link': '/api/v1/people/677960', 'firstName': 'Ryan', 'lastName': 'Weathers'}","{'id': 103, 'name': 'AL', 'link': '/api/v1/league/103'}","{'id': 1, 'link': '/api/v1/sports/1', 'abbreviation': 'MLB'}",1,42,"{'code': '1', 'name': 'Pitcher', 'type': 'Pitcher', 'abbreviation': 'P'}",2026,26,15,15,72,86,41,6,2,16,95,24,0,75,1,.230,326,.284,.408,.692,3,1,.250,.750,2,1384,3.95,86.2,3,5,0,0,0,0,38,1.14,353,260,15,0,0,885,.640,1,0,4,2,133,0.84,.375,15.97,0,3.96,9.87,2.49,7.79,4.26,1.66,0,0,0,1,1
2026,"{'id': 140, 'name': 'Texas Rangers', 'link': '/api/v1/teams/140'}","{'id': 543135, 'fullName': 'Nathan Eovaldi', 'link': '/api/v1/people/543135', 'firstName': 'Nathan', 'lastName': 'Eovaldi'}","{'id': 103, 'name': 'AL', 'link': '/api/v1/league/103'}","{'id': 1, 'link': '/api/v1/sports/1', 'abbreviation': 'MLB'}",1,43,"{'code': '1', 'name': 'Pitcher', 'type': 'Pitcher', 'abbreviation': 'P'}",2026,36,16,16,106,85,46,15,1,17,101,23,0,93,6,.243,383,.295,.420,.715,3,2,.400,.600,6,1471,3.95,100.1,8,7,0,0,0,0,44,1.16,414,301,16,0,0,990,.670,6,0,5,0,161,1.25,.533,14.66,0,4.39,9.06,2.06,8.34,4.13,1.52,0,0,0,1,1
2026,"{'id': 146, 'name': 'Miami Marlins', 'link': '/api/v1/teams/146'}","{'id': 645261, 'fullName': 'Sandy Alcantara', 'link': '/api/v1/people/645261', 'firstName': 'Sandy', 'lastName': 'Alcantara'}","{'id': 104, 'name': 'NL', 'link': '/api/v1/league/104'}","{'id': 1, 'link': '/api/v1/sports/1', 'abbreviation': 'MLB'}",1,44,"{'code': '1', 'name': 'Pitcher', 'type': 'Pitcher', 'abbreviation': 'P'}",2026,30,17,17,122,114,54,15,2,12,81,27,0,109,6,.256,425,.310,.386,.696,4,12,.750,.250,9,1653,4.01,110.0,8,4,0,0,0,0,49,1.24,459,330,17,1,1,1124,.680,6,1,1,0,164,1.07,.667,15.03,0,3.00,6.63,2.21,8.92,4.42,0.98,0,0,0,1,0
2026,"{'id': 144, 'name': 'Atlanta Braves', 'link': '/api/v1/teams/144'}","{'id': 693821, 'fullName': 'Bryce Elder', 'link': '/api/v1/people/693821', 'firstName': 'Bryce', 'lastName': 'Elder'}","{'id': 104, 'name': 'NL', 'link': '/api/v1/league/104'}","{'id': 1, 'link': '/api/v1/sports/1', 'abbreviation': 'MLB'}",1,45,"{'code': '1', 'name': 'Pitcher', 'type': 'Pitcher', 'abbreviation': 'P'}",2026,27,17,17,99,110,48,11,2,12,83,30,0,91,2,.241,378,.298,.376,.674,1,7,.875,.125,4,1462,4.01,98.2,5,6,0,0,0,0,44,1.23,415,296,17,0,0,928,.630,2,0,1,2,142,0.90,.455,14.82,0,2.77,7.57,2.74,8.30,4.38,1.09,0,0,0,2,3
2026,"{'id': 121, 'name': 'New York Mets', 'link': '/api/v1/teams/121'}","{'id': 690997, 'fullName': 'Nolan McLean', 'link': '/api/v1/people/690997', 'firstName': 'Nolan', 'lastName': 'McLean'}","{'id': 104, 'name': 'NL', 'link': '/api/v1/league/104'}","{'id': 1, 'link': '/api/v1/sports/1', 'abbreviation': 'MLB'}",1,46,"{'code': '1', 'name': 'Pitcher', 'type': 'Pitcher', 'abbreviation': 'P'}",2026,24,16,16,92,63,46,16,0,10,106,34,0,66,11,.204,324,.299,.346,.645,1,2,.667,.333,6,1504,4.03,89.1,4,5,0,0,0,0,40,1.12,372,268,16,0,0,940,.630,11,0,2,2,112,1.46,.444,16.84,0,3.12,10.68,3.43,6.65,4.63,1.01,0,0,0,1,2
2026,"{'id': 116, 'name': 'Detroit Tigers', 'link': '/api/v1/teams/116'}","{'id': 664285, 'fullName': 'Framber Valdez', 'link': '/api/v1/people/664285', 'firstName': 'Framber', 'lastName': 'Valdez'}","{'id': 103, 'name': 'AL', 'link': '/api/v1/league/103'}","{'id': 1, 'link': '/api/v1/sports/1', 'abbreviation': 'MLB'}",1,47,"{'code': '1', 'name': 'Pitcher', 'type': 'Pitcher', 'abbreviation': 'P'}",2026,32,17,17,118,87,48,16,1,10,77,34,0,93,8,.249,373,.324,.378,.702,0,13,1.000,.000,9,1521,4.05,95.2,4,5,0,0,0,0,43,1.33,417,287,17,0,0,986,.650,8,0,3,0,141,1.36,.444,15.90,0,2.26,7.24,3.20,8.75,4.52,0.94,0,0,0,0,2
2026,"{'id': 140, 'name': 'Texas Rangers', 'link': '/api/v1/teams/140'}","{'id': 669022, 'fullName': 'MacKenzie Gore', 'link': '/api/v1/people/669022', 'firstName': 'MacKenzie', 'lastName': 'Gore'}","{'id': 103, 'name': 'AL', 'link': '/api/v1/league/103'}","{'id': 1, 'link': '/api/v1/sports/1', 'abbreviation': 'MLB'}",1,48,"{'code': '1', 'name': 'Pitcher', 'type': 'Pitcher', 'abbreviation': 'P'}",2026,27,17,17,73,98,41,18,3,8,97,38,0,76,2,.223,341,.303,.364,.667,0,5,1.000,.000,5,1543,4.05,91.0,5,6,0,0,0,0,41,1.25,384,273,17,0,0,982,.640,2,0,0,1,124,0.74,.455,16.96,0,2.55,9.59,3.76,7.52,4.05,0.79,0,0,0,1,2
2026,"{'id': 137, 'name': 'San Francisco Giants', 'link': '/api/v1/teams/137'}","{'id': 694738, 'fullName': 'Landen Roupp', 'link': '/api/v1/people/694738', 'firstName': 'Landen', 'lastName': 'Roupp'}","{'id': 104, 'name': 'NL', 'link': '/api/v1/league/104'}","{'id': 1, 'link': '/api/v1/sports/1', 'abbreviation': 'MLB'}",1,49,"{'code': '1', 'name': 'Pitcher', 'type': 'Pitcher', 'abbreviation': 'P'}",2026,27,16,16,93,60,43,22,2,5,95,34,0,77,3,.239,322,.316,.366,.682,2,3,.600,.400,10,1548,4.07,86.1,5,7,0,0,0,0,39,1.29,362,259,16,0,0,932,.600,3,0,1,0,118,1.55,.417,17.93,0,2.79,9.90,3.54,8.03,4.48,0.52,0,0,0,1,2
2026,"{'id': 138, 'name': 'St. Louis Cardinals', 'link': '/api/v1/teams/138'}","{'id': 681517, 'fullName': 'Kyle Leahy', 'link': '/api/v1/people/681517', 'firstName': 'Kyle', 'lastName': 'Leahy'}","{'id': 104, 'name': 'NL', 'link': '/api/v1/league/104'}","{'id': 1, 'link': '/api/v1/sports/1', 'abbreviation': 'MLB'}",1,50,"{'code': '1', 'name': 'Pitcher', 'type': 'Pitcher', 'abbreviation': 'P'}",2026,29,16,16,86,80,37,22,1,9,67,31,0,89,4,.279,319,.349,.439,.788,3,7,.700,.300,8,1354,4.09,81.1,6,4,0,0,0,0,37,1.48,358,244,16,0,0,843,.620,4,0,3,0,140,1.08,.600,16.65,0,2.16,7.41,3.43,9.85,4.09,1.00,0,0,1,2,1
